,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
17804,Citizens Financial Group Inc,0.92,0.89,3.37,0,EQUITY,2019-04-18T10:30:00.000Z,TAS,CFG
17805,Clarkston Financial Corp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,CKFC
17806,Webster Financial Corp,1.06,1.01,4.95,0,EQUITY,2019-04-18T11:30:00.000Z,TAS,WBS
17807,Entegra Financial Corp,0.55,0.52,5.77,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,ENFC
17808,Travelers Companies Inc,2.83,2.74,3.28,0,EQUITY,2019-04-18T10:57:00.000Z,TAS,TRV
17809,Union Pacific Corp,1.93,1.89,2.12,0,EQUITY,2019-04-18T12:00:13.000Z,TAS,UNP
17810,Sonoco Products Co,0.85,0.8,6.25,0,EQUITY,2019-04-18T10:45:22.000Z,TAS,SON
17811,Check Point Software Technologies Ltd,1.32,1.31,0.76,0,EQUITY,2019-04-18T09:00:18.000Z,TAS,CHKP
17812,Dover Corp,1.24,1.1,12.73,0,EQUITY,2019-04-18T10:45:05.000Z,TAS,DOV
17813,Computer Task Group Inc,0.06,0.06,0.0,0,EQUITY,2019-04-18T15:00:00.000Z,TAS,CTG
17814,Pool Corp,0.8,0.65,23.08,0,EQUITY,2019-04-18T11:00:36.000Z,TAS,POOL
17815,Chart Industries Inc,0.39,0.44,-11.36,0,EQUITY,2019-04-18T10:00:50.000Z,TAS,GTLS
17816,Cosmos Holdings Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,COSM
17817,Danaher Corp,0.99,1.01,-1.98,0,EQUITY,2019-04-18T10:00:00.000Z,TAS,DHR
17818,Citizens & Northern Corp,0.43,0.43,0.0,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,CZNC
17819,LCNB Corp,0.35,0.36,-2.78,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,LCNB
17820,Heartland Express Inc,0.21,0.2,5.0,0,EQUITY,2019-04-18T12:30:26.000Z,TAS,HTLD
17821,Sharing Economy International Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,SEII
17822,Exponent Inc,0.42,0.36,16.67,0,EQUITY,2019-04-18T20:06:03.000Z,TAS,EXPO
17823,Escalade Inc,0.02,0.01,100.0,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,ESCA
